"ID","AVAM_CODE_OLD","AVAM_CODE_NEW","BFS_CODE_NEW","CHISCO3_CODE","CHISCO5_CODE","DESCRIPTION"
"0d8fde00-9c3f-4fef-a9ad-19d6e59945e2","63701","101505","51102371","311","31151","Techniker, Mikrotechnik"
"31caeab6-cf48-48b6-98b1-f7f5ba482de4","63702","101505","51102371","311","31151","Techniker, Mikrotechnik"
"daa10a0c-2ff1-4393-8710-80ac3bba1fb0","63908","101507","51102418","311","31151","Techniker, Kunststofftechnik"
"f861ec14-d740-49f1-a257-ced80a7e07b5","63501","101508","51102468","311","31151","Techniker, Maschinenbau"
"117c5fcc-ef44-4d97-9fb9-bce32fe9799b","63502","101508","51102468","311","31151","Techniker, Maschinenbau"
"1388c976-dce7-463f-a6f0-0dd33190a6a7","63504","101508","51102468","311","31151","Techniker, Maschinenbau"
"dcb9ec3f-c63f-4a26-8327-10aca6f6aade","63505","101508","51102468","311","31151","Techniker, Maschinenbau"
"3c11d172-77be-4136-927c-93d429d2aaea","63507","101508","51102468","311","31151","Techniker, Maschinenbau"
"57dddef8-5990-40ad-af06-4b139604f28d","63003","101508","51102468","311","31151","Techniker, Maschinenbau"
"13a79c71-f928-4b34-b9ee-b319ebb936fb","15052","101512","51103157","311","31151","Medizintechniker"
"ca3e385f-cb5c-494d-be06-9bec01a1ca99","15049","101519","51102410","311","31153","Techniker, Betriebstechnik"
"a614e7fa-aff9-4c1e-8a6a-87a248f90d84","63001","101520","51102428","311","31153","Techniker, Unternehmensprozesse"
"05eb15c1-6f84-4b63-9e65-73ed12620007","63902","101521","29207046","311","31160","Beschichtungstechniker"
"1653022d-a4b9-4469-9d19-9aec2d8d4cd3","63907","101521","29207046","311","31160","Beschichtungstechniker"
"a2976849-5db4-49b0-a4f1-225ca2b9b8aa","89215","101522","45202029","311","31170","Archäologischer Grabungstechniker"
"5d619181-754e-4322-88f9-2648355cbc91","89210","101522","45202029","311","31170","Archäologischer Grabungstechniker"
"130d8b2d-e795-42b4-a149-5b464d645354","66529","101522","45202029","311","31170","Archäologischer Grabungstechniker"
"ea58ba3f-03cd-4fd9-8c3c-71f105d71088","65001","101523","29303001","311","31180","Technischer Zeichner"
"fe84fb96-834f-4ade-b249-2f44914e5ad7","65007","101523","29303001","311","31180","Technischer Zeichner"
"97cbdde3-d1a6-4a76-8f5e-fd3a208743e2","65013","101523","29303001","311","31180","Technischer Zeichner"
"df2e1859-37c2-40fb-bb99-5f62581d6fd2","65017","101523","29303001","311","31180","Technischer Zeichner"
"bf5c8b5a-30f6-4120-abb2-bd90e806c93d","65024","101523","29303001","311","31180","Technischer Zeichner"
"f5e9d8e1-9fe7-4c17-a3ec-90472c1f67b7","90332","101523","29303001","311","31180","Technischer Zeichner"
"1518c2a8-f110-40e3-a27c-46197a7df88f","90354","101523","29303001","311","31180","Technischer Zeichner"
"84b7793b-f4b9-4aa2-92ab-b61892d47604","65006","101524","51102359","311","31181","Mikrozeichner"
"46aec8f1-448d-454b-bb96-f71d12bac7e9","65011","101524","51102359","311","31181","Mikrozeichner"
"090c7a0d-3a1b-4ecc-a5f2-e9c287c57abb","64204","101524","51102359","311","31181","Mikrozeichner"
"a2b4d271-b982-4cc1-99ea-b8804339ac10","65022","101525","29301005","311","31182","Landschaftsbauzeichner"
"db5cd2bd-9c0a-4a10-9868-c7787e17ee37","15030","101525","29301005","311","31182","Landschaftsbauzeichner"
"9bca27a8-3570-4071-a64d-05aadad57017","64005","101526","29301023","311","31182","Zeichner-Konstrukteur, Tiefbau"
"a284cef6-0845-459d-a1e1-49d2520e251b","64006","101526","29301023","311","31182","Zeichner-Konstrukteur, Tiefbau"
"201ea39f-062a-4700-99f3-82f2b3a065fa","64010","101526","29301023","311","31182","Zeichner-Konstrukteur, Tiefbau"
"e81f49e5-2f5e-41f6-bc3b-522022157367","65503","101526","29301023","311","31182","Zeichner-Konstrukteur, Tiefbau"
"4debb4b7-ea76-4a49-9925-891daf1940cd","65019","101527","51102366","311","31182","Zeichner, Raumplanung"
"eeb3a0ae-f659-4c9b-9e01-f73a74f21e21","64007","101527","51102366","311","31182","Zeichner, Raumplanung"
"0cac1606-0563-45f8-a099-7b439f92bdcc","15032","101527","51102366","311","31182","Zeichner, Raumplanung"
"13ea7b97-df4e-4bff-be41-5ae9154d2325","64003","101529","51102368","311","31182","Zeichner, Ingenieurbau"
"ab017ac4-0ac2-4665-8089-5ce43d4e6b80","15031","101529","51102368","311","31182","Zeichner, Ingenieurbau"
"4cea7f4c-552d-4e63-b52f-93f5ff378031","64301","101529","51102368","311","31182","Zeichner, Ingenieurbau"
"da4cd1f0-25fe-4d93-a490-89e8cea17037","65009","101530","51102369","311","31182","Zeichner, Architektur"
"f3bd3960-8fcf-44b4-b25a-14b54f8eec17","65023","101530","51102369","311","31182","Zeichner, Architektur"
"8043ad77-1f40-4384-b282-9186264afec2","64001","101530","51102369","311","31182","Zeichner, Architektur"
"44f744fd-1870-4a68-a367-6b1fb4533fa0","64002","101530","51102369","311","31182","Zeichner, Architektur"
"d241a1d2-69a9-4efe-96ad-2997af8b28de","64009","101530","51102369","311","31182","Zeichner, Architektur"
"5e472b8a-77fa-4435-884d-32474a4ed346","15029","101530","51102369","311","31182","Zeichner, Architektur"
"76549f82-3f34-4187-a311-b0521f173edc","15028","101530","51102369","311","31182","Zeichner, Architektur"
"2b38d007-315e-44d1-825f-e23f3e843913","65508","101531","51103162","311","31182","Metallbaukonstrukteur"
"1383bce8-05f0-4bcc-a587-b336e9c2c630","65010","101532","51102361","311","31183","Kältesystem-Planer"
"81276779-0505-49c9-9e84-4b0e9ba0b7fe","63906","101533","51102362","311","31183","Gebäudetechnikplaner Sanitär"
"e15c412a-73d5-415f-b2b1-879c0e613b3a","64702","101533","51102362","311","31183","Gebäudetechnikplaner Sanitär"
"4d24f281-6b11-440d-9d07-0a256d9a9a17","64701","101533","51102362","311","31183","Gebäudetechnikplaner Sanitär"
"6c5aa14a-9f17-4e65-a2b6-001c9f315e6d","47706","101533","51102362","311","31183","Gebäudetechnikplaner Sanitär"
"b199c211-b770-4786-a590-0782daadae90","100014","101533","51102362","311","31183","Gebäudetechnikplaner Sanitär"
"023ccb28-b82c-4cff-9c87-bcf19fc9f198","64901","101534","51102363","311","31183","Gebäudetechnikplaner Lüftung"
"2acf4740-6c91-4356-8338-dfad0a8aa66e","47804","101534","51102363","311","31183","Gebäudetechnikplaner Lüftung"
"b3d79d86-632e-4f93-ae22-7381f426d024","100013","101534","51102363","311","31183","Gebäudetechnikplaner Lüftung"
"b16e4c16-ae0a-46e9-a46f-3242ed81f9bc","64601","101535","51102364","311","31183","Gebäudetechnikplaner Heizung"
"0777caeb-ac2f-4658-b43d-96fcfce74200","47611","101535","51102364","311","31183","Gebäudetechnikplaner Heizung"
"83c9893c-c890-42b7-8fe0-bacfae5f4d2e","47609","101535","51102364","311","31183","Gebäudetechnikplaner Heizung"
"13ba1e68-e829-4f87-af15-3a1084c9c870","100012","101535","51102364","311","31183","Gebäudetechnikplaner Heizung"
"eae83321-d4f2-4618-85fe-408b6b50ad05","64100","101538","29110034","311","31184","Geomatiker"
"80d0e231-63f2-4fce-bf88-e5894f6a5c0d","64101","101538","29110034","311","31184","Geomatiker"
"ad0eaec0-5743-40d8-bc5d-feab7e4eab12","64103","101538","29110034","311","31184","Geomatiker"
"0d37cd96-b913-40e9-b279-308ede751aed","75019","101539","29207034","311","31190","Sicherheitstechniker"
"e6cd07f6-4732-4d6f-b664-b8b2a93efb74","75018","101539","29207034","311","31190","Sicherheitstechniker"
"1ce18ed4-80bd-4929-b201-da91371e4ee8","95406","101541","29402008","311","31190","Qualitätsfachmann"
"325f75f1-eb79-40fa-b6fc-7386f1194c87","66501","101542","29402009","311","31190","AVOR-Projektleiter"
"cc4a3002-a8ff-4534-a686-6bd8522a817f","68500","101542","29402009","311","31190","AVOR-Projektleiter"
"a4b43009-8fb7-4553-b917-b2e18855a1c2","68503","101542","29402009","311","31190","AVOR-Projektleiter"
"513b2218-95bc-45c2-8553-2c09979c9acc","68501","101542","29402009","311","31190","AVOR-Projektleiter"
